0: kd> dqs win32kbase!gDxgkInterface L1000
ffff9d25`eb755fd0  00000000`00260890
ffff9d25`eb7562f0  fffff80d`1d43d6d0 dxgkrnl!DxgkValidateDeviceName
ffff9d25`eb7562f8  fffff80d`1d3f9770 dxgkrnl!DxgkGetAdapterDefaultScaling
ffff9d25`eb756300  fffff80d`1d3fbd20 dxgkrnl!DxgkConvertDisplayConfigCScalingToDdiScaling
ffff9d25`eb756308  fffff80d`1d442fa0 dxgkrnl!DxgkGetGlobalRawmodeFlag
ffff9d25`eb756310  fffff80d`1d517c10 dxgkrnl!DxgkSetGlobalRawmodeFlag
ffff9d25`eb756318  fffff80d`1d442ab0 dxgkrnl!DxgkQueryModeListCacheLuid
ffff9d25`eb756320  fffff80d`1d432fb0 dxgkrnl!DxgkOfferAllocations
ffff9d25`eb756328  fffff80d`1d3e8e40 dxgkrnl!DxgkReclaimAllocations
ffff9d25`eb756330  fffff80d`1d51c3d0 dxgkrnl!DxgkCreateOutputDupl
ffff9d25`eb756338  fffff80d`1d51c940 dxgkrnl!DxgkDestroyOutputDupl
ffff9d25`eb756340  fffff80d`1d51cad0 dxgkrnl!DxgkOutputDuplGetFrameInfo
ffff9d25`eb756348  fffff80d`1d51cc80 dxgkrnl!DxgkOutputDuplGetMetaData
ffff9d25`eb756350  fffff80d`1d51ce60 dxgkrnl!DxgkOutputDuplGetPointerShapeData
ffff9d25`eb756358  fffff80d`1d43bc40 dxgkrnl!DxgkThreadCallout
ffff9d25`eb756360  fffff80d`1d512140 dxgkrnl!DxgkCreateKeyedMutex2
ffff9d25`eb756368  fffff80d`1d512860 dxgkrnl!DxgkOpenKeyedMutex2
ffff9d25`eb756370  fffff80d`1d511bb0 dxgkrnl!DxgkAcquireKeyedMutex2
ffff9d25`eb756378  fffff80d`1d512d80 dxgkrnl!DxgkReleaseKeyedMutex2
ffff9d25`eb756380  fffff80d`1d504bf0 dxgkrnl!DxgkOutputDuplPresent
