1: kd> dqs win32kbase!gDxgkInterface L1000
ffffe25a`69d83570  00000000`00280888
ffffe25a`69d83998  fffff802`2f976720 dxgkrnl!DxgkIsVidPnSourceOwnerExclusive
ffffe25a`69d839a0  fffff802`2f96eec0 dxgkrnl!DxgkGetMonitorDeviceObject
ffffe25a`69d839a8  fffff802`2fa2c7a0 dxgkrnl!DxgkWaitForVerticalBlankEvent2
ffffe25a`69d839b0  fffff802`2f976170 dxgkrnl!DxgkGetDWMVerticalBlankEvent
ffffe25a`69d839b8  fffff802`2f9629a0 dxgkrnl!DxgkSetSyncRefreshCountWaitTarget
ffffe25a`69d839c0  fffff802`2f94ca50 dxgkrnl!DxgkSetContextInProcessSchedulingPriority
ffffe25a`69d839c8  fffff802`2fa56e00 dxgkrnl!DxgkGetContextInProcessSchedulingPriority
ffffe25a`69d839d0  fffff802`2fa73210 dxgkrnl!DxgkOpenSyncObjectFromNtHandle
ffffe25a`69d839d8  fffff802`2fa736a0 dxgkrnl!DxgkOpenSyncObjectFromNtHandle2
ffffe25a`69d839e0  fffff802`2f9771c0 dxgkrnl!DxgkRegisterDwmProcess
ffffe25a`69d839e8  fffff802`2fa2f9d0 dxgkrnl!DxgkGetSharedResourceAdapterLuid
ffffe25a`69d839f0  fffff802`2fa67900 dxgkrnl!DxgkSetStereoEnabled
ffffe25a`69d839f8  fffff802`2f937b20 dxgkrnl!DxgkGetCachedHybridQueryValue
ffffe25a`69d83a00  fffff802`2f96f1e0 dxgkrnl!DxgkCacheHybridQueryValue
ffffe25a`69d83a08  fffff802`2faa2550 dxgkrnl!DxgkPresentMultiPlaneOverlay
ffffe25a`69d83a10  fffff802`2fa1cf40 dxgkrnl!DxgkNotifyMonitorDimming
ffffe25a`69d83a18  fffff802`2f952420 dxgkrnl!DxgkGetSharedAllocationObjectType
ffffe25a`69d83a20  fffff802`2f952600 dxgkrnl!DxgkGetSharedSyncObjectType
ffffe25a`69d83a28  fffff802`2fa2a440 dxgkrnl!DxgkNetDispGetNextChunkInfo
ffffe25a`69d83a30  fffff802`2f97e240 dxgkrnl!DxgkNetDispQueryMiracastDisplayDeviceSupport
ffffe25a`69d83a38  fffff802`2fa2aa10 dxgkrnl!DxgkNetDispStartMiracastDisplayDevice
ffffe25a`69d83a40  fffff802`2fa2ac60 dxgkrnl!DxgkNetDispStopMiracastDisplayDevice
ffffe25a`69d83a48  fffff802`2fa2a7f0 dxgkrnl!DxgkNetDispQueryMiracastDisplayDeviceStatus
ffffe25a`69d83a50  fffff802`2f97aee0 dxgkrnl!DxgkGetPresentStats
ffffe25a`69d83a58  fffff802`2fa55310 dxgkrnl!DxgkCheckMultiPlaneOverlaySupport
ffffe25a`69d83a60  fffff802`2fa67580 dxgkrnl!DxgkGetProcessInterferenceCount
ffffe25a`69d83a68  fffff802`2f975f50 dxgkrnl!DxgkGetGpuUsageStatistics
ffffe25a`69d83a70  fffff802`2f903f70 dxgkrnl!DxgkUpdateGdiInfo
ffffe25a`69d83a78  fffff802`2f9781d0 dxgkrnl!DxgkSetPresenterViewMode
ffffe25a`69d83a80  fffff802`2f977350 dxgkrnl!DxgkGetPresenterViewMode
ffffe25a`69d83a88  fffff802`2f951a70 dxgkrnl!DxgkMakeResident
ffffe25a`69d83a90  fffff802`2f941c00 dxgkrnl!DxgkEvict
ffffe25a`69d83a98  fffff802`2fa76160 dxgkrnl!DxgkUpdateAllocationProperty
ffffe25a`69d83aa0  fffff802`2f92b4e0 dxgkrnl!DxgkWaitForSynchronizationObjectFromCpu
ffffe25a`69d83aa8  fffff802`2fa8c620 dxgkrnl!DxgkSignalSynchronizationObjectFromCpu
ffffe25a`69d83ab0  fffff802`2f92df30 dxgkrnl!DxgkWaitForSynchronizationObjectFromGpu
ffffe25a`69d83ab8  fffff802`2f8ffc60 dxgkrnl!DxgkSignalSynchronizationObjectFromGpu
ffffe25a`69d83ac0  fffff802`2f937230 dxgkrnl!DxgkCreatePagingQueue
ffffe25a`69d83ac8  fffff802`2f93ccf0 dxgkrnl!DxgkDestroyPagingQueue
ffffe25a`69d83ad0  fffff802`2f91e860 dxgkrnl!DxgkLock2
ffffe25a`69d83ad8  fffff802`2f91e3f0 dxgkrnl!DxgkUnlock2
ffffe25a`69d83ae0  fffff802`2fa31480 dxgkrnl!DxgkInvalidateCache
ffffe25a`69d83ae8  fffff802`2f922eb0 dxgkrnl!DxgkMapGpuVirtualAddress
ffffe25a`69d83af0  fffff802`2f96eca0 dxgkrnl!DxgkFreeGpuVirtualAddress
ffffe25a`69d83af8  fffff802`2f97d5a0 dxgkrnl!DxgkReserveGpuVirtualAddress
ffffe25a`69d83b00  fffff802`2fa30500 dxgkrnl!DxgkUpdateGpuVirtualAddress
ffffe25a`69d83b08  fffff802`2f933d80 dxgkrnl!DxgkCreateContextVirtual
ffffe25a`69d83b10  fffff802`2f928760 dxgkrnl!DxgkSubmitCommand
ffffe25a`69d83b18  fffff802`2f91b420 dxgkrnl!DxgkDestroyAllocation2
ffffe25a`69d83b20  fffff802`2f91c6c0 dxgkrnl!DxgkSignalSynchronizationObjectFromGpu2
ffffe25a`69d83b28  fffff802`2f901560 dxgkrnl!DxgkQueryVideoMemoryInfo
ffffe25a`69d83b30  fffff802`2fa2ea20 dxgkrnl!DxgkChangeVideoMemoryReservation
ffffe25a`69d83b38  fffff802`2f96c760 dxgkrnl!DxgkSetProcessStatus
ffffe25a`69d83b40  fffff802`2faa7de0 dxgkrnl!DxgkCreateSwapChain
ffffe25a`69d83b48  fffff802`2faa8830 dxgkrnl!DxgkOpenSwapChain
ffffe25a`69d83b50  fffff802`2faa7a40 dxgkrnl!DxgkAddSurfaceToSwapChain
ffffe25a`69d83b58  fffff802`2faa92a0 dxgkrnl!DxgkRemoveSurfaceFromSwapChain
ffffe25a`69d83b60  fffff802`2faa9540 dxgkrnl!DxgkUnOrderedPresentSwapChain
ffffe25a`69d83b68  fffff802`2faa7560 dxgkrnl!DxgkAcquireSwapChain
